City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
130,turpan,42.9333,89.1667,0.45,57,97,0.84,CN,1701992518
131,klyuchi,52.2667,79.1667,-22.02,71,81,3.73,RU,1701992518
132,linxia chengguanzhen,35.6003,103.2064,1.78,25,48,1.56,CN,1701992518
133,hawaiian paradise park,19.5933,-154.9731,26.73,74,40,6.69,US,1701992469
134,nyurba,63.2842,118.3319,-51.53,100,75,0.85,RU,1701992518
135,idil,37.3411,41.8895,8.96,93,75,1.03,TR,1701992518
136,hamilton,39.1834,-84.5333,11.35,64,0,3.6,US,1701992518
137,sassandra,4.95,-6.0833,25.8,85,15,2.79,CI,1701992519
138,lodja,-3.4833,23.4333,20.93,99,58,1.0,CD,1701992519
139,maxixe,-23.8597,35.3472,23.54,82,55,3.12,MZ,1701992519
140,lagoa,39.05,-27.9833,17.44,93,100,12.52,PT,1701992519
141,tanabe,33.7333,135.3667,8.56,57,0,2.06,JP,1701992519
142,kavieng,-2.5744,150.7967,27.91,78,90,3.05,PG,1701992519
143,fort st. john,56.2499,-120.8529,-4.06,74,20,2.06,CA,1701992519
144,atafu village,-8.5421,-172.5159,29.34,71,72,2.31,TK,1701992482
145,punta arenas,-53.15,-70.9167,10.06,71,0,4.63,CL,1701992520
146,northam,51.0333,-4.2167,10.34,93,54,7.56,GB,1701992520
147,faya-largeau,17.9257,19.1043,20.79,20,74,3.61,TD,1701992520
148,masterton,-40.9597,175.6575,18.82,68,59,3.25,NZ,1701992520
149,manaure,11.7751,-72.4445,27.39,73,65,7.96,CO,1701992520
150,betio village,1.358,172.9211,28.27,82,100,5.85,KI,1701992520
151,portland,45.5234,-122.6762,9.32,90,75,4.12,US,1701992282
152,rio preto da eva,-2.6994,-59.6997,24.33,91,71,1.16,BR,1701992521
153,dryden,49.7833,-92.7503,2.16,80,100,3.6,CA,1701992477
154,papatowai,-46.5619,169.4708,16.41,53,99,4.01,NZ,1701992395
155,al ghayzah,16.2079,52.176,23.86,54,34,1.49,YE,1701992521
156,walvis bay,-22.9575,14.5053,16.16,86,12,4.22,NA,1701992521
157,pandan,14.0453,124.1694,28.09,71,98,2.59,PH,1701992521
158,mil'kovo,55.6078,37.7956,-12.78,100,99,2.36,RU,1701992521
159,chubbuck,42.9208,-112.4661,4.94,69,20,10.8,US,1701992522
160,mermoz boabab,14.7065,-17.4758,24.88,83,0,2.06,SN,1701992522
161,koundara,12.4833,-13.3,24.92,24,85,0.81,GN,1701992522
162,hithadhoo,-0.6,73.0833,27.72,75,96,5.26,MV,1701992522
163,pagar alam,-4.0167,103.2667,21.1,93,100,1.15,ID,1701992522
164,ancud,-41.8697,-73.8203,11.68,80,0,1.99,CL,1701992522
165,broome,42.2506,-75.833,2.57,90,100,1.54,US,1701992523
166,kem',64.9555,34.5793,-21.36,100,88,2.06,RU,1701992523
167,barcelos,41.5388,-8.6151,15.08,87,58,5.84,PT,1701992523
168,whitefish,48.4111,-114.3376,4.44,81,100,3.09,US,1701992523
169,iskateley,67.6803,53.1512,-14.43,96,100,3.58,RU,1701992429
170,sitka,57.0531,-135.33,3.94,87,75,2.57,US,1701992524
171,talcahuano,-36.7167,-73.1167,16.82,72,0,7.2,CL,1701992524
172,zhongshan,21.3226,110.5829,19.81,73,53,3.94,CN,1701992524
173,camacupa,-12.0167,17.4833,16.65,93,100,0.52,AO,1701992524
174,college,64.8569,-147.8028,-18.01,77,75,2.06,US,1701992524
175,fort bragg,35.139,-79.006,9.91,53,0,2.06,US,1701992524
176,iquitos,-3.7481,-73.2472,27.02,83,40,2.06,PE,1701992525
177,black point,-34.6187,137.8972,30.87,37,92,7.69,AU,1701992525
178,yeniseysk,58.4497,92.1703,-32.25,98,80,0.45,RU,1701992525
179,san jose de jachal,-30.2406,-68.7469,24.21,35,15,4.04,AR,1701992525
180,lakheri,25.6667,76.1667,16.49,65,0,0.59,IN,1701992525
181,kasongo-lunda,-6.4667,16.8167,21.24,99,99,0.22,CD,1701992526
182,fortuna foothills,32.6578,-114.4119,25.05,25,0,2.57,US,1701992526
183,nantucket,41.2835,-70.0995,1.06,55,20,3.6,US,1701992526
184,lashio,22.9333,97.75,17.18,100,99,0.55,MM,1701992526
185,pontes e lacerda,-15.2261,-59.3353,23.86,94,45,2.07,BR,1701992526
186,suzun,53.7841,82.3116,-28.88,93,25,1.67,RU,1701992526
187,kapuskasing,49.4169,-82.4331,-0.95,93,100,2.57,CA,1701992486
188,nouadhibou,20.931,-17.0347,21.99,56,53,6.17,MR,1701992527
189,huarmey,-10.0681,-78.1522,21.05,84,41,4.1,PE,1701992527
190,carnarvon,-24.8667,113.6333,22.35,63,0,10.02,AU,1701992527
191,chonchi,-42.6128,-73.8092,16.56,79,0,0.8,CL,1701992527
192,tual,-5.6667,132.75,28.64,71,100,0.35,ID,1701992528
193,jayapura,-2.5333,140.7,27.66,76,100,3.37,ID,1701992528
194,sinop,41.7711,34.8709,8.7,80,92,3.77,TR,1701992528
